container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
5318110432,_name_,__AS__,DICT_ITEM,5317380320,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,64,
5318110432,__objclass__,__AS__,DICT_ITEM,5317382864,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,64,
5318109232,_value_,__AS__,DICT_ITEM,5317125664,"str, int",2,5317981120[_value_] = 2,83,64,
5318109232,_name_,__AS__,DICT_ITEM,5317119088,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,64,
5318109232,__objclass__,__AS__,DICT_ITEM,5317132048,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,64,
5318108656,_value_,__AS__,DICT_ITEM,5317118704,"str, int",3,5317981952[_value_] = 3,83,64,
5318108656,_name_,__AS__,DICT_ITEM,5317383536,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,64,
5318108656,__objclass__,__AS__,DICT_ITEM,5317388480,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,64,
5317771776,0,__AS__,LIST_ITEM,5317127488,Type,5318114464,<class 'list'>[0],83,64,
5317771776,1,__AS__,LIST_ITEM,5317388048,Type,5318110432,<class 'list'>[1],83,64,
5317771776,2,__AS__,LIST_ITEM,5317130944,Type,5318109232,<class 'list'>[2],83,64,
5317771776,3,__AS__,LIST_ITEM,5317124848,Type,5318108656,<class 'list'>[3],83,64,
5313230496,__init__,__DEF__,VAR,5317387280,function,__init__,__init__,15,65,
1337,self,__PIS__,VAR,5317384064,Job,5317124416,self,15,66,
5313230496,self,__AS__,VAR,5317391312,Job,5317124416,self,15,67,
5313230496,id,__AS__,VAR,5317381280,int,3,id,15,67,
5313230496,_type,__AS__,VAR,5317388864,Type,5318109232,_type,15,67,
5317124416,id,__AS__,OBJ_ITEM,5317130032,int,3,self.id,16,68,
5317124416,type,__AS__,OBJ_ITEM,5317119040,str,AUDIO,self.type,17,69,
5313230496,__init__,__UNDEF__,VAR,5317125376,function,__init__,__init__,17,70,
4562293008,Job,__FC__,FUNCTION_CALL,5317392464,Job,5317124416,Job,83,71,<listcomp>@132
